Date,Close/Last,Volume,Open,High,Low
08/31/2020,$78.83,4966698,$78.75,$80.24,$77.78
08/28/2020,$78.35,2894275,$78.38,$78.44,$77.32
08/27/2020,$78.37,2159844,$78.80,$79.36,$78.20
08/26/2020,$78.61,2531984,$79.06,$79.44,$78.17
08/25/2020,$79.77,1684984,$80.85,$80.865,$79.39
08/24/2020,$80.78,2519913,$79.25,$80.97,$78.73
08/21/2020,$79.08,3090628,$79.20,$79.69,$77.99
08/20/2020,$79.41,2412273,$80.69,$81.035,$79.17
08/19/2020,$80.92,2021228,$81.59,$81.625,$80.67
08/18/2020,$81.55,3340924,$81.36,$81.665,$80.06
08/17/2020,$81.23,2988834,$83.27,$83.315,$81.21
08/14/2020,$82.95,2874921,$83.44,$83.77,$82.785
08/13/2020,$83.66,2059609,$83.57,$84.01,$83.11
08/12/2020,$84.15,5597439,$83.75,$85.11,$83.73
08/11/2020,$83.29,6386981,$85.20,$85.27,$82.87
08/10/2020,$85.94,2774168,$86.94,$86.94,$85.50
08/07/2020,$86.60,2230752,$84.25,$87.15,$84.25
08/06/2020,$85.37,2313279,$84.01,$85.60,$82.77
08/05/2020,$84.83,2336028,$85.84,$86.12,$84.50
08/04/2020,$85.54,2162694,$85.53,$86.79,$85.18
08/03/2020,$85.77,2088541,$86.62,$86.62,$84.95
07/31/2020,$86.88,2797254,$85.74,$86.97,$85.1617
07/30/2020,$86.07,2684453,$84.48,$86.07,$83.92
07/29/2020,$84.80,2950504,$85.00,$85.26,$83.84
07/28/2020,$84.74,5519379,$83.38,$85.25,$83.38
07/27/2020,$83.26,22455980,$87.23,$87.42,$79.23
07/24/2020,$88.05,2085924,$89.07,$89.93,$87.65
07/23/2020,$88.71,2707389,$89.14,$89.45,$88.05
07/22/2020,$89.28,3059261,$87.04,$89.38,$86.38
07/21/2020,$87.56,1908708,$87.28,$88.52,$86.72
07/20/2020,$86.72,2159147,$87.54,$88.381,$86.61
07/17/2020,$87.51,2819876,$85.79,$87.75,$85.19
07/16/2020,$85.09,2510260,$84.79,$85.55,$84.55
07/15/2020,$84.68,2914258,$86.03,$87.04,$84.42
07/14/2020,$85.35,3150068,$84.60,$86.06,$84.44
07/13/2020,$84.76,3378320,$83.90,$85.08,$83.53
07/10/2020,$84.15,3023197,$82.05,$84.44,$82.05
07/09/2020,$82.02,2034460,$81.92,$82.43,$80.48
07/08/2020,$82.42,1809379,$82.18,$82.90,$81.714
07/07/2020,$82.39,2945152,$81.30,$82.565,$80.64
07/06/2020,$82.12,2250123,$83.11,$83.72,$81.1152
07/02/2020,$82.52,1645337,$82.67,$83.29,$82.30
07/01/2020,$82.00,2378076,$79.76,$82.51,$79.71
06/30/2020,$79.64,2587029,$79.70,$80.78,$79.05
06/29/2020,$79.57,2377142,$78.72,$79.57,$78.19
06/26/2020,$78.00,4365216,$79.31,$80.23,$77.15
06/25/2020,$79.30,3559427,$80.41,$80.605,$78.755
06/24/2020,$80.71,3337551,$80.23,$80.96,$79.765
06/23/2020,$80.95,3444931,$81.50,$81.97,$80.0592
06/22/2020,$80.62,2741759,$79.60,$81.16,$79.32
06/19/2020,$79.71,5687998,$82.62,$82.62,$79.66
