Date,Close/Last,Volume,Open,High,Low
09/23/2021,$392.28,7990,$392.77,$393.125,$389.93
09/22/2021,$390.90,15330,$385.65,$393.96,$384.6099
09/21/2021,$381.76,15710,$385.55,$387.67,$380.31
09/20/2021,$381.90,22314,$388.52,$388.6399,$378.15
09/17/2021,$391.43,69678,$385.68,$392.11,$381.0602
09/16/2021,$383.25,13982,$384.50,$385.67,$382.3884
09/15/2021,$385.35,16219,$384.92,$389.10,$383.685
09/14/2021,$386.03,19028,$394.91,$394.91,$384.29
09/13/2021,$395.70,14946,$390.68,$395.70,$390.3965
09/10/2021,$390.01,14357,$397.09,$397.09,$390.00
09/09/2021,$394.14,16248,$397.75,$398.45,$393.25
09/08/2021,$400.65,13370,$392.00,$401.13,$392.00
09/07/2021,$393.55,15544,$399.44,$399.44,$391.2424
09/03/2021,$398.50,18365,$405.77,$405.77,$395.45
09/02/2021,$405.00,15443,$407.50,$410.00,$402.7456
09/01/2021,$407.72,11205,$405.46,$407.90,$400.01
08/31/2021,$406.16,17556,$402.41,$406.985,$398.90
08/30/2021,$401.00,14154,$398.43,$401.625,$398.23
08/27/2021,$399.95,20427,$391.05,$399.95,$391.05
08/26/2021,$391.10,14448,$394.98,$396.98,$391.00
08/25/2021,$396.01,13692,$395.18,$398.30,$394.385
08/24/2021,$397.58,15635,$402.62,$402.62,$396.0101
08/23/2021,$400.00,13474,$405.07,$405.95,$399.26
08/20/2021,$401.00,25611,$395.69,$405.35,$395.40
08/19/2021,$396.75,19574,$394.70,$402.00,$391.42
08/18/2021,$398.20,16169,$408.89,$408.89,$396.39
08/17/2021,$407.53,15960,$406.74,$409.89,$402.56
08/16/2021,$406.40,12932,$410.00,$410.00,$402.0101
08/13/2021,$410.01,16195,$412.17,$417.30,$409.4242
08/12/2021,$412.98,21557,$403.94,$413.95,$401.63
08/11/2021,$400.21,35966,$390.00,$414.50,$387.30
08/10/2021,$394.11,27066,$390.81,$397.03,$389.00
08/09/2021,$388.21,19922,$394.75,$396.50,$386.20
08/06/2021,$393.31,18777,$392.91,$397.82,$392.06
08/05/2021,$391.26,20276,$389.57,$392.15,$386.10
08/04/2021,$385.89,26954,$389.94,$392.1278,$381.75
08/03/2021,$392.24,40868,$394.70,$394.70,$386.70
08/02/2021,$392.82,28321,$399.15,$402.54,$391.00
07/30/2021,$399.15,27972,$403.43,$405.46,$396.00
07/29/2021,$405.27,19726,$401.66,$409.00,$401.66
07/28/2021,$399.00,24463,$404.62,$404.62,$397.995
07/27/2021,$405.90,33989,$414.15,$414.15,$404.17
07/26/2021,$415.89,22265,$417.44,$419.94,$415.29
07/23/2021,$417.47,18176,$410.86,$417.47,$408.71
07/22/2021,$409.28,23007,$408.01,$410.82,$401.675
07/21/2021,$409.30,25195,$434.5502,$434.5502,$407.62
07/20/2021,$414.98,42075,$406.89,$421.655,$406.89
07/19/2021,$405.40,39705,$412.00,$413.00,$403.44
07/16/2021,$414.63,22037,$413.01,$418.00,$412.00
07/15/2021,$410.77,16470,$407.55,$410.80,$405.3901
07/14/2021,$407.55,29587,$404.77,$409.06,$402.70
07/13/2021,$403.20,25297,$404.07,$406.01,$400.1101
07/12/2021,$403.58,55138,$393.43,$406.9199,$392.79
07/09/2021,$392.50,20435,$386.76,$392.57,$384.77
07/08/2021,$384.86,35436,$380.80,$386.00,$380.00
07/07/2021,$384.09,37493,$388.55,$392.66,$384.09
07/06/2021,$388.55,39107,$392.04,$392.04,$381.15
07/02/2021,$393.39,25365,$396.00,$397.99,$393.01
07/01/2021,$397.16,23590,$403.43,$405.00,$396.24
06/30/2021,$402.13,38769,$400.00,$403.77,$396.505
06/29/2021,$398.39,30639,$403.02,$403.02,$396.0101
06/28/2021,$402.00,40084,$409.27,$409.27,$401.25
06/25/2021,$405.44,59231,$403.87,$408.38,$401.82
06/24/2021,$402.69,28492,$406.11,$407.1299,$400.00
06/23/2021,$405.60,33164,$414.00,$414.00,$404.13
06/22/2021,$411.89,25913,$410.37,$414.00,$408.00
06/21/2021,$406.75,39033,$402.44,$407.551,$399.96
06/18/2021,$399.51,59892,$407.57,$409.00,$399.20
06/17/2021,$410.30,33186,$411.61,$415.00,$404.55
06/16/2021,$408.77,29819,$411.80,$414.01,$404.80
