Date,Close/Last,Volume,Open,High,Low
11/16/2020,$77.44,7876961,$76.72,$77.50,$75.57
11/13/2020,$77.55,5596410,$77.50,$77.70,$76.61
11/12/2020,$76.71,4881896,$77.12,$78.40,$76.525
11/11/2020,$76.55,5510993,$76.345,$76.69,$75.71
11/10/2020,$75.12,8658862,$74.80,$76.24,$73.21
11/09/2020,$75.41,13716610,$75.00,$78.23,$71.19
11/06/2020,$78.81,7576545,$79.87,$80.14,$77.27
11/05/2020,$80.14,6581667,$80.743,$81.68,$79.89
11/04/2020,$79.37,8632891,$78.93,$80.02,$77.67
11/03/2020,$76.26,6820353,$76.58,$77.68,$75.76
11/02/2020,$76.40,7306645,$76.55,$77.77,$75.70
10/30/2020,$75.73,11979400,$77.45,$78.28,$74.37
10/29/2020,$77.77,9877153,$78.96,$79.47,$77.133
10/28/2020,$79.01,5910440,$80.18,$80.68,$78.93
10/27/2020,$80.96,5469669,$81.00,$81.49,$80.08
10/26/2020,$80.49,4235527,$80.75,$81.76,$79.76
10/23/2020,$81.04,4303407,$81.00,$81.3807,$79.89
10/22/2020,$80.77,4344010,$82.205,$82.205,$79.57
10/21/2020,$81.94,5305066,$80.985,$82.59,$80.72
10/20/2020,$80.14,3366040,$80.50,$81.13,$79.595
10/19/2020,$80.08,4463197,$82.28,$82.505,$79.81
10/16/2020,$80.62,4683982,$80.95,$81.615,$80.52
10/15/2020,$80.35,3864132,$81.02,$81.47,$80.115
10/14/2020,$81.90,5516890,$82.51,$82.96,$81.0768
10/13/2020,$81.98,5270342,$81.44,$82.46,$80.461
10/12/2020,$81.06,6724619,$79.28,$81.92,$78.95
10/09/2020,$78.21,5433235,$78.19,$78.75,$77.72
10/08/2020,$77.80,5492097,$78.70,$78.9618,$77.35
10/07/2020,$78.47,5421275,$78.68,$78.925,$77.66
10/06/2020,$78.30,4886976,$79.77,$80.644,$78.12
10/05/2020,$79.99,5561114,$79.36,$80.17,$78.40
10/02/2020,$78.30,8789527,$81.99,$81.99,$78.13
10/01/2020,$82.68,6035872,$81.72,$83.54,$81.38
09/30/2020,$80.95,7454960,$80.61,$82.015,$80.40
09/29/2020,$80.78,4829970,$81.83,$82.00,$80.54
09/28/2020,$81.95,3838053,$81.63,$82.02,$80.505
09/25/2020,$80.98,4954328,$79.88,$81.335,$79.06
09/24/2020,$79.69,5023697,$79.28,$80.89,$79.25
09/23/2020,$80.13,5849101,$82.53,$83.15,$79.89
09/22/2020,$82.65,6237487,$82.313,$83.275,$80.755
09/21/2020,$81.41,6293228,$79.64,$81.465,$79.16
09/18/2020,$80.09,9409432,$79.33,$80.64,$78.08
09/17/2020,$78.77,7609525,$78.06,$79.19,$77.71
09/16/2020,$79.99,4996733,$81.68,$82.39,$79.825
09/15/2020,$81.75,6501143,$80.00,$82.2089,$79.78
09/14/2020,$79.12,6221811,$79.04,$79.42,$78.48
09/11/2020,$77.97,6024537,$79.83,$80.52,$77.63
09/10/2020,$79.09,8457979,$80.29,$81.11,$78.73
09/09/2020,$79.59,6984702,$77.85,$80.00,$77.26
09/08/2020,$76.18,11025000,$76.58,$77.49,$75.92
09/04/2020,$79.01,8947258,$79.10,$79.80,$75.68
09/03/2020,$80.31,7996811,$82.96,$83.00,$79.411
09/02/2020,$83.45,7125069,$83.58,$84.02,$82.475
09/01/2020,$83.33,5955106,$83.844,$84.49,$82.60
08/31/2020,$83.52,6269549,$82.81,$83.9299,$82.69
08/28/2020,$83.21,4646739,$83.95,$84.03,$82.31
08/27/2020,$83.90,4221334,$85.00,$85.00,$82.775
08/26/2020,$84.48,7046351,$83.83,$84.94,$83.54
08/25/2020,$83.62,3658992,$82.93,$83.845,$82.3685
08/24/2020,$83.10,4281857,$83.34,$83.66,$81.91
08/21/2020,$83.21,5102134,$84.05,$84.09,$82.73
08/20/2020,$83.995,5604107,$82.02,$84.22,$81.8613
08/19/2020,$81.98,5566091,$82.95,$83.73,$81.73
08/18/2020,$83.13,4479265,$82.60,$83.2799,$81.59
08/17/2020,$81.99,7091775,$80.97,$82.05,$80.1686
08/14/2020,$80.40,9390035,$81.97,$82.30,$79.98
08/13/2020,$81.29,5329083,$82.28,$82.98,$81.20
08/12/2020,$81.71,6200326,$79.58,$81.99,$79.58
08/11/2020,$79.12,9095695,$81.51,$81.51,$78.70
08/10/2020,$82.26,8018241,$82.43,$83.51,$80.84
08/07/2020,$82.47,9181875,$84.43,$85.40,$80.99
08/06/2020,$86.84,9586305,$87.55,$87.7265,$85.50
08/05/2020,$84.32,12559790,$84.65,$86.02,$83.35
08/04/2020,$86.45,16110330,$86.77,$87.04,$83.95
08/03/2020,$84.79,8589596,$84.41,$85.05,$82.87
07/31/2020,$82.63,8923266,$82.81,$83.45,$81.76
07/30/2020,$81.70,4034047,$80.60,$82.02,$79.91
07/29/2020,$81.20,2957601,$81.26,$81.44,$80.62
07/28/2020,$80.72,3637146,$81.37,$81.86,$80.59
07/27/2020,$81.63,3777232,$80.60,$81.795,$80.59
07/24/2020,$79.99,4371429,$79.32,$80.745,$78.12
07/23/2020,$79.61,5963149,$81.49,$82.67,$79.38
07/22/2020,$81.10,2937364,$80.97,$81.38,$80.42
07/21/2020,$80.76,5496467,$81.645,$81.83,$79.62
07/20/2020,$81.16,5556413,$79.07,$81.37,$78.68
07/17/2020,$78.64,6241468,$79.41,$79.85,$77.95
07/16/2020,$79.37,4950149,$78.88,$79.48,$77.87
07/15/2020,$79.15,6994327,$78.52,$79.585,$77.455
07/14/2020,$79.77,4875560,$76.81,$79.89,$76.21
07/13/2020,$77.95,7437572,$82.01,$82.05,$77.52
07/10/2020,$81.27,6071116,$80.72,$81.5254,$79.63
07/09/2020,$80.64,6005720,$79.93,$80.75,$78.8213
07/08/2020,$79.28,4863396,$79.06,$79.345,$77.97
07/07/2020,$78.50,6038790,$79.00,$80.38,$78.39
07/06/2020,$78.67,6041824,$78.46,$79.44,$78.05
07/02/2020,$77.51,5169711,$78.86,$79.11,$77.045
07/01/2020,$78.03,10187730,$75.45,$78.23,$74.97
06/30/2020,$75.90,6535740,$75.69,$76.43,$75.42
06/29/2020,$75.50,5099362,$75.82,$76.515,$74.93
06/26/2020,$76.40,11572670,$76.54,$76.84,$74.65
06/25/2020,$76.21,6157310,$76.61,$76.77,$74.46
06/24/2020,$75.58,7744934,$76.46,$77.17,$74.43
06/23/2020,$76.45,4472169,$76.73,$77.63,$76.22
06/22/2020,$76.12,5243074,$76.67,$77.20,$75.87
06/19/2020,$76.58,10385250,$76.18,$76.75,$75.09
06/18/2020,$76.01,7270416,$75.99,$76.37,$74.89
06/17/2020,$75.53,12763570,$73.69,$76.48,$73.31
06/16/2020,$73.00,6360259,$74.00,$74.19,$72.23
06/15/2020,$73.19,6494643,$71.48,$73.55,$71.27
06/12/2020,$71.68,5921437,$71.50,$73.21,$70.25
06/11/2020,$71.28,7808023,$72.87,$74.35,$71.02
06/10/2020,$73.82,9106784,$72.38,$74.24,$72.31
06/09/2020,$72.00,6245192,$71.28,$72.16,$70.23
06/08/2020,$70.73,6941441,$68.49,$70.77,$68.33
06/05/2020,$69.43,8620317,$67.99,$69.59,$67.40
06/04/2020,$69.81,7629965,$69.50,$71.10,$69.10
06/03/2020,$69.92,10519780,$72.39,$72.63,$69.665
06/02/2020,$72.98,6518530,$72.78,$73.04,$71.0902
06/01/2020,$72.99,4931853,$72.19,$73.58,$71.72
05/29/2020,$71.98,11437090,$70.66,$72.21,$69.82
05/28/2020,$70.22,7899909,$70.00,$71.73,$69.4006
05/27/2020,$70.15,13218570,$69.29,$70.34,$66.592
05/26/2020,$70.00,11628600,$73.37,$73.4888,$69.61
05/22/2020,$73.08,5161359,$73.01,$73.16,$72.20
05/21/2020,$72.47,9522924,$74.36,$74.49,$72.44
05/20/2020,$73.78,6231063,$73.535,$74.54,$73.24
05/19/2020,$73.03,5509676,$72.90,$74.44,$72.72
05/18/2020,$72.88,8495178,$73.86,$74.68,$72.45
05/15/2020,$73.92,5854174,$72.62,$74.00,$72.285
05/14/2020,$72.96,6749221,$73.12,$73.90,$71.61
05/13/2020,$73.67,8807713,$72.51,$75.01,$71.97
05/12/2020,$72.25,8921039,$75.265,$75.49,$71.95
05/11/2020,$75.46,9285199,$73.061,$75.97,$72.60
05/08/2020,$73.14,6089228,$73.18,$74.00,$72.51
