Date,Close/Last,Volume,Open,High,Low
03/24/2023,$9.62,8079615,$9.67,$9.79,$9.47
03/23/2023,$9.91,15974150,$10.06,$10.40,$9.72
03/22/2023,$9.70,11268290,$10.06,$10.1001,$9.63
03/21/2023,$9.91,22987370,$9.48,$10.205,$9.48
03/20/2023,$9.15,23771480,$8.36,$9.37,$8.34
03/17/2023,$8.84,29083620,$8.50,$9.49,$8.49
03/16/2023,$8.33,13249950,$8.00,$8.435,$7.9609
03/15/2023,$8.10,13598220,$7.69,$8.25,$7.66
03/14/2023,$7.92,13111500,$8.02,$8.17,$7.86
03/13/2023,$8.27,12576790,$8.06,$8.33,$7.85
03/10/2023,$8.18,10534020,$8.22,$8.38,$8.03
03/09/2023,$8.29,15842790,$8.33,$8.45,$8.11
03/08/2023,$8.44,9807592,$8.49,$8.58,$8.27
03/07/2023,$8.63,18893630,$9.04,$9.0505,$8.54
03/06/2023,$9.37,10145540,$9.61,$9.63,$9.28
03/03/2023,$9.62,9091017,$9.37,$9.71,$9.255
03/02/2023,$9.33,12896660,$8.95,$9.385,$8.775
03/01/2023,$8.86,12896050,$9.21,$9.25,$8.67
02/28/2023,$8.92,14581440,$8.75,$9.18,$8.72
02/27/2023,$8.60,13172980,$8.835,$8.91,$8.44
02/24/2023,$8.40,17792700,$8.74,$8.75,$8.22
02/23/2023,$9.05,11596230,$9.21,$9.235,$8.7341
02/22/2023,$9.21,6454329,$9.23,$9.305,$9.03
02/21/2023,$9.22,8544606,$9.43,$9.64,$9.19
02/17/2023,$9.53,9025823,$9.45,$9.705,$9.34
02/16/2023,$9.70,13636750,$9.41,$9.85,$9.38
02/15/2023,$9.43,11292670,$9.09,$9.45,$9.08
02/14/2023,$9.44,9826133,$9.32,$9.51,$9.06
02/13/2023,$9.46,9916645,$9.66,$9.7485,$9.34
02/10/2023,$9.29,12434850,$9.39,$9.55,$9.105
02/09/2023,$9.75,17616510,$10.27,$10.40,$9.55
02/08/2023,$9.84,13784980,$10.09,$10.18,$9.75
02/07/2023,$10.34,9651262,$10.44,$10.48,$10.03
02/06/2023,$10.45,9651504,$10.21,$10.50,$10.1057
02/03/2023,$10.50,15553550,$10.77,$11.26,$10.4201
02/02/2023,$11.05,20385310,$11.25,$11.55,$10.91
02/01/2023,$11.13,20500380,$10.96,$11.30,$10.60
01/31/2023,$10.64,21769390,$10.20,$10.8199,$10.0814
01/30/2023,$10.02,19064650,$10.32,$10.42,$9.87
01/27/2023,$10.69,28056270,$10.16,$11.31,$10.06
01/26/2023,$10.24,16775420,$10.45,$10.46,$9.97
01/25/2023,$9.77,10482050,$9.55,$9.85,$9.38
01/24/2023,$9.69,14729600,$10.67,$10.67,$9.68
01/23/2023,$10.10,28341610,$9.62,$10.67,$9.60
01/20/2023,$9.40,20213110,$9.21,$9.88,$9.03
01/19/2023,$8.95,15296010,$9.12,$9.32,$8.855
01/18/2023,$9.11,18357220,$9.45,$9.61,$9.06
01/17/2023,$9.36,24980380,$9.53,$9.5899,$9.11
01/13/2023,$9.99,14824440,$9.63,$10.08,$9.63
01/12/2023,$10.11,19037780,$9.86,$10.17,$9.55
01/11/2023,$10.01,22349480,$9.88,$10.03,$9.54
01/10/2023,$10.09,22326020,$10.38,$10.41,$9.85
01/09/2023,$9.91,24729530,$10.29,$10.48,$9.90
01/06/2023,$10.11,41106670,$10.525,$10.58,$9.85
01/05/2023,$11.90,21958420,$11.12,$12.09,$11.06
01/04/2023,$11.56,31419610,$10.57,$11.965,$10.31
01/03/2023,$10.18,27129670,$10.63,$10.97,$9.73
12/30/2022,$9.94,11719260,$9.73,$10.09,$9.66
12/29/2022,$9.88,15350140,$9.75,$10.05,$9.54
12/28/2022,$9.39,16766660,$9.72,$9.97,$9.24
12/27/2022,$9.80,18615310,$9.89,$9.93,$9.46
12/23/2022,$10.06,15949490,$10.71,$10.75,$10.00
12/22/2022,$10.83,20323730,$11.18,$11.25,$10.29
12/21/2022,$11.30,26714500,$9.99,$11.33,$9.91
12/20/2022,$10.19,26627240,$9.25,$10.30,$9.23
12/19/2022,$9.66,28675610,$10.40,$10.40,$9.36
12/16/2022,$10.30,25982850,$10.55,$11.145,$10.30
12/15/2022,$10.13,22494210,$10.685,$10.85,$10.04
12/14/2022,$10.19,21640340,$10.22,$10.43,$9.93
12/13/2022,$10.31,25946800,$11.01,$11.39,$10.12
12/12/2022,$10.47,20614880,$10.29,$10.58,$10.04
12/09/2022,$10.94,28229950,$11.44,$11.49,$10.93
12/08/2022,$11.82,36408090,$11.65,$12.05,$11.08
12/07/2022,$11.00,34072500,$11.02,$11.08,$10.35
12/06/2022,$11.69,50168400,$11.55,$12.36,$11.26
12/05/2022,$11.34,67357520,$12.96,$13.10,$10.88
12/02/2022,$11.45,94894930,$10.08,$12.88,$10.08
12/01/2022,$9.97,45221740,$10.08,$10.22,$9.67
11/30/2022,$10.81,173509600,$8.54,$10.955,$8.53
11/29/2022,$7.34,34913960,$7.28,$7.62,$7.19
11/28/2022,$6.89,18354710,$6.90,$7.31,$6.88
